Current_connection,City,Region,Nationality,Gender,Exact_Age,Connection,Segment,Performance,Preference,TRIM_Index,Communication,Communication,Proposition,Sales_Experience,Opt_inout,Network_Satisfaction,Customer_Support,Billing_Payment,Website_performance,Mobileapp_satisfaction,Performance_SNS_Promotions
Mobily,AR RIYADH,Central,Expat Arabs,Male,39,Postpaid,VHV,5,5,150,5,0,1,,1,1,1,0,1,0,
Mobily,AT TAIF,Western,Nationals,Male,40,Prepaid,VLV,5,5,150,10,1,1,,1,1,1,1,1,1,
Mobily,Other,Others,Nationals,Male,33,Postpaid,LV,3,3,50,0,0,0,,0,0,,0,,,0
Mobily,Other,Others,Nationals,Male,50,Prepaid,MV,3,1,0,10,1,1,,1,0,1,0,1,1,0
Mobily,JEDDAH,Western,Expat Arabs,Male,50,Postpaid,LV,5,5,150,8,0,1,,1,1,,1,,,
Mobily,JEDDAH,Western,Expat Arabs,Female,25,Prepaid,VLV,4,5,125,10,1,1,,1,1,,1,,,
Mobily,AR RIYADH,Central,Expat Asians,Male,31,Prepaid,VLV,5,4,125,10,1,1,,1,1,,1,1,,1
Mobily,AD DAMMAM,Eastern,Nationals,Female,28,Prepaid,LV,5,4,125,8,0,1,,1,0,,0,1,,0
Mobily,Other,Others,Nationals,Male,36,Prepaid,MV,3,3,50,6,0,0,,0,0,1,0,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,32,Prepaid,VLV,5,5,150,10,1,1,,1,1,,1,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,38,Prepaid,VLV,5,3,100,10,1,0,,1,1,1,1,,,
Mobily,JEDDAH,Western,Nationals,Female,24,Postpaid,VLV,4,4,100,10,1,1,,1,1,,1,,,
Mobily,AR RIYADH,Central,Nationals,Male,20,Postpaid,MV,5,5,150,10,1,1,,1,1,1,1,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,29,Prepaid,LV,5,5,150,8,0,0,1,0,0,0,0,0,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Female,43,Prepaid,VLV,4,5,125,2,0,1,,0,1,1,1,,0,
Mobily,Other,Others,Nationals,Male,26,Postpaid,VHV,2,3,25,10,1,1,,0,0,1,1,,,
Mobily,TABUK,Northern,Expat Arabs,Male,34,Prepaid,VLV,3,3,50,9,1,,,,1,1,1,,,
Mobily,JEDDAH,Western,Nationals,Male,26,Postpaid,VLV,4,3,75,5,0,1,,1,0,,0,1,1,
Mobily,Other,Others,Nationals,Male,30,Postpaid,HV,3,3,50,8,0,0,,0,0,1,0,0,0,0
Mobily,JEDDAH,Western,Nationals,Male,54,Prepaid,VLV,4,3,75,10,1,1,,,1,,0,,,
Mobily,BAYSH,South,Nationals,Female,40,Postpaid,MV,5,5,150,10,1,1,,1,1,,1,1,1,1
Mobily,JEDDAH,Western,Expat Arabs,Male,23,Prepaid,VLV,5,4,125,10,1,0,,0,1,,1,,,
Mobily,ABHA,South,Nationals,Male,33,Prepaid,VLV,3,3,50,2,0,0,,0,0,0,0,,,
Mobily,HAFAR AL BATIN,Eastern,Nationals,Male,27,Postpaid,VLV,5,5,150,10,1,1,,1,0,,1,0,,
Mobily,AR RIYADH,Central,Nationals,Male,40,Postpaid,VLV,3,2,25,0,0,0,,0,0,0,0,0,,
Mobily,BURAYDAH,Central,Expat Arabs,Male,40,Prepaid,VLV,3,5,100,10,1,1,,1,0,,0,,,
Mobily,Other,Others,Nationals,Male,20,Prepaid,VLV,5,1,50,8,0,0,,0,1,,1,,,
Mobily,AT TAIF,Western,Expat Arabs,Male,40,Prepaid,VLV,4,4,100,10,1,,,1,1,,1,,,
Mobily,AR RIYADH,Central,Nationals,Male,39,Prepaid,VLV,4,3,75,10,1,1,,1,1,,0,,1,
Mobily,AR RIYADH,Central,Expat Arabs,Male,40,Prepaid,MV,4,4,100,1,0,0,,0,0,,0,,,
Mobily,Other,Others,Nationals,Male,27,Prepaid,LV,2,2,0,5,0,0,,0,0,,0,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Male,47,Prepaid,LV,5,,75,9,1,1,,1,0,1,0,0,1,
Mobily,AD DAMMAM,Eastern,Nationals,Male,35,Prepaid,VLV,5,5,150,10,1,1,,1,1,,1,1,,
