Current_connection,City,Region,Nationality,Gender,Exact_Age,Connection,Segment,Performance,Preference,TRIM_Index,Communication,Proposition,Sales_Experience,Opt_inout,Network_Satisfaction,Customer_Support,Billing_Payment,Website_performance,Mobileapp_satisfaction,Performance_SNS_Promotions
Mobily,AR RIYADH,Central,Nationals,Female,29,Prepaid,LV,3,3,50,10,10,,10,5,,10,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,52,Postpaid,HV,1,,-25,5,5,,10,0,,8,,1,
Mobily,JEDDAH,Western,Expat Arabs,Male,35,Postpaid,VHV,4,4,100,8,4,,7,8,8,8,7,,
Mobily,AR RIYADH,Central,Nationals,Male,25,Postpaid,LV,2,1,-25,5,2,,3,0,0,0,1,10,
Mobily,AR RIYADH,Central,Expat Arabs,Male,45,Prepaid,VLV,5,5,150,10,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Nationals,Male,21,Prepaid,MV,3,2,25,,,,10,0,,,,,10
Mobily,AR RIYADH,Central,Nationals,Male,32,Prepaid,VLV,3,3,50,7,5,,5,5,,7,,,
Mobily,Other,Others,Nationals,Male,23,Postpaid,VHV,3,2,25,10,10,,10,4,,10,,,
Mobily,Other,Others,Nationals,Male,36,Postpaid,VHV,4,3,75,7,7,,8,7,9,8,,9,8
Mobily,JEDDAH,Western,Nationals,Male,23,Prepaid,LV,4,5,125,10,10,,10,9,,10,,9,
Mobily,AR RIYADH,Central,Nationals,Female,17,Prepaid,LV,5,5,150,7,10,,10,10,,9,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,30,Postpaid,VLV,4,4,100,8,9,,8,8,,9,8,,
Mobily,AR RIYADH,Central,Nationals,Male,56,Postpaid,VLV,2,4,50,8,4,,6,3,5,3,2,5,
Mobily,AR RIYADH,Central,Expat Arabs,Male,31,Postpaid,VHV,3,1,0,10,0,,0,7,,8,,,
Mobily,JEDDAH,Western,Expat Arabs,Female,30,Prepaid,VLV,4,3,75,10,8,,8,10,,,,,
Mobily,AR RIYADH,Central,Nationals,Male,25,Prepaid,LV,5,5,150,10,10,,10,10,,10,,10,10
Mobily,JEDDAH,Western,Nationals,Female,26,Postpaid,VLV,4,2,50,10,10,,10,6,,10,10,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,23,Postpaid,MV,4,3,75,6,10,,8,10,10,10,,10,
Mobily,Other,Others,Nationals,Male,36,Prepaid,LV,4,,50,6,8,,7,7,,8,8,8,
Mobily,AR RIYADH,Central,Nationals,Male,45,Postpaid,MV,2,2,0,1,7,,6,3,,2,,,
Mobily,Other,Others,Expat Arabs,Male,47,Prepaid,VLV,4,4,100,,8,,10,8,,4,,10,
Mobily,AL KHARJ,Central,Expat Arabs,Male,30,Postpaid,VLV,5,5,150,10,10,,10,10,10,10,,,
Mobily,AL MAJMA'AH,Central,Nationals,Female,24,Prepaid,VLV,5,5,150,10,9,,9,10,10,10,8,10,
